class,comment,terms,text,id,created_at,location,state,uid,friends_count,followers_count,user_created_at,statuses_count
0,,smok*,"In Meridian, MS...they just announced ""this is the last smoke stop until NO...so go smoke now!"" Hahaha",1940699403,Wed May 27 23:06:36 +0000 2009,"Dothan, AL",al,39177609,65,50,Mon May 11 03:03:23 +0000 2009,194
1,,cig*,Just found the ABC Store in Mobile... and this time its open! Time to shop a little.. Then off to the Cigar shop!,1952749004,Thu May 28 22:40:36 +0000 2009,"Montgomery, AL",al,18862058,150,269,Sun Jan 11 09:20:40 +0000 2009,4151
0,,"smok*,tobacco",Tobacco states have stricter no smoking policies than Alabama... http://ping.fm/o0fc6,1961823001,Fri May 29 17:05:50 +0000 2009,"Prattville, Alabama",al,22104013,70,42,Fri Feb 27 03:52:07 +0000 2009,139
1,,smok*,The trucks that drive around spraying  bug spray in the air disturb me. And I'm a smoker. That's gotta say something. #fb,1964784601,Fri May 29 21:48:06 +0000 2009,"Tuscaloosa, AL, US",al,14222764,44,22,Wed Mar 26 03:57:31 +0000 2008,178
-1,,smok*,SMOKIN' IN THE BOY'S ROOM - BROWNSVILLE STATION : Now Playing on #106.9 FM The Eagle (#WBPT) - Listen online: http://birminghamseagle.com,1968757303,Sat May 30 05:08:40 +0000 2009,"Birmingham, Alabama",al,42714327,1,55,Tue May 26 20:40:35 +0000 2009,923
1,,smok*,"@Rockergirl75 little bleach to it, crossing my fingers now. I am smoking more than I have in a while, since my ex caused me so much hell.",1980117604,Sun May 31 12:44:51 +0000 2009,"Boaz, AL",al,21199833,43,107,Wed Feb 18 14:25:26 +0000 2009,4741
-1,,smok*,"omg... worst thing EVER. salmon jerky. dude, shits nasty. they leave the skin on and dehydrate the fish. SOOO oily, smokey and nasty.",1979024601,Sun May 31 08:20:05 +0000 2009,"Mobile, Alabama",al,14184328,759,562,Thu Mar 20 14:31:36 +0000 2008,4837
0,,smok*,@jarredkmYou aren't supposed to smoke!,1984828401,Sun May 31 22:53:24 +0000 2009,"Tuscaloosa, AL",al,17831096,18,11,Wed Dec 03 06:42:31 +0000 2008,267
-1,,smok*,Doin the bbq thang. Smokin joints and drinkin beers. Doin it right.,1915755102,Mon May 25 20:04:23 +0000 2009,"T 41.21615,-73.262116",ct,23773674,58,28,Wed Mar 11 14:58:36 +0000 2009,249
1,,smok*,"what she said, i smoke cos im hoping for an early death and i need to cling to something",1916930304,Mon May 25 22:11:47 +0000 2009,Connecticut,ct,21889867,110,102,Wed Feb 25 17:20:30 +0000 2009,229
0,,cig*,What characteristics of a cigar contribute to its value? Will you pay more for the ability to repeatedly replicate great taste experience?,1925627700,Tue May 26 17:16:39 +0000 2009,"Stamford, CT",ct,36939036,265,116,Fri May 01 13:11:36 +0000 2009,16
-1,,smok*,@stephdavidson coming soon to NH: Kitchen Zinc - fancy pizza restaurant from Zinc. Hope they do one like the smoked duck nachos.,1934615600,Wed May 27 11:02:48 +0000 2009,"New Haven, Connecticut",ct,5410142,56,72,Sun Apr 22 19:38:25 +0000 2007,623
0,,smok*,The other girls are taking a smoke break. I don't smoke... so I'm going to take a SODA break! :D *runs to vending machine*,1950029601,Thu May 28 18:16:11 +0000 2009,Connecticut,ct,6203832,40,32,Mon May 21 16:30:05 +0000 2007,2735
-1,,smok*,Now on NotesFromHel Where there's smoke...:   Maybe there's fire.  Or maybe there's not.  But.. http://tinyurl.com/n4s4yo,1952187003,Thu May 28 21:44:34 +0000 2009,"Hartford, Connecticut",ct,21538116,308,318,Sun Feb 22 02:29:10 +0000 2009,488
1,Chantix,smok*,"Chantix, Day 1. I might mix w/ acupuncture too because I must, must quit smoking. Quit Day - nxt Thursday, June 4. #quitsmoking",1957260204,Fri May 29 06:58:53 +0000 2009,"Hartford, Connecticut",ct,17881632,1637,1494,Thu Dec 04 22:27:35 +0000 2008,2544
1,,smok*,"I quit smoking, women, and drinking last night. Worst 15 minutes of my life.",1960494801,Fri May 29 15:03:10 +0000 2009,Connecticut,ct,34691132,52,17,Thu Apr 23 18:41:57 +0000 2009,46
-1,,smok*,"ALl i smookkkeee iss lOOUUDD ay! all I smoke is loud Aye,.. ALl i smoke is loud put that Bullshid down",1914783904,Mon May 25 18:21:56 +0000 2009,Washington DC,dc,26958020,73,63,Fri Mar 27 05:33:20 +0000 2009,1077
0,,smok*,Obesity is the second leading cause of preventable deaths behind smoking. Lets start taking control of our bodies.,1918651901,Tue May 26 01:31:01 +0000 2009,"Washington, DC",dc,38191887,3,3,Wed May 06 14:46:12 +0000 2009,6
-1,,camel,"@VIVA_LA_SUE_SUE yea, you definitely rockin the camel hoof. . . . LMAO!",1936780702,Wed May 27 15:39:09 +0000 2009,"T 38.93893,-77.03627",dc,16810197,272,504,Thu Oct 16 17:14:39 +0000 2008,7386
0,,tobacco,Critics Attack Dissolvable Tobacco : http://clkurl.com/?n8626594,1938021604,Wed May 27 17:46:19 +0000 2009,"Washington, DC",dc,16419670,0,248,Tue Sep 23 14:35:07 +0000 2008,5455
-1,,smok*,turns a woman on: compliment her on something outside the obvious... she knows she's smoking HOT!! dudes tell her that all day!,1942796102,Thu May 28 02:47:42 +0000 2009,DC,dc,15058051,158,71,Mon Jun 09 13:27:44 +0000 2008,211
-1,,camel,RT @UncleTreyPoundlmao RT @ATLcatalyst: RT @xmelaniex7 Do I see a camel toe? Oh no!!!!! Mr. Whitey Pants #sytycd :: Boys have moose knuckle!,1954251703,Fri May 29 01:08:14 +0000 2009,Washington DC,dc,20778703,476,521,Fri Feb 13 15:40:09 +0000 2009,1013
-1,,smok*,"http://bit.ly/oCQ79  Holy white smoke, the Pope has blessed Web 2.0: I guess it's safe now.  Condoms, not so much.",1962001504,Fri May 29 17:22:13 +0000 2009,"Washington, DC",dc,9866112,715,741,Thu Nov 01 22:32:01 +0000 2007,2700
1,,cig*,@whitefolkz cigarettes,1962776101,Fri May 29 18:38:35 +0000 2009,"Washington, DC",dc,31993530,160,246,Thu Apr 16 17:13:11 +0000 2009,774
1,,smok*,[RUN] ...and started smoking again as an excuse to get outside periodically and offer some cogitation time for recent events,1972010200,Sat May 30 15:22:19 +0000 2009,Washington DC,dc,7694402,61,46,Tue Jul 24 20:44:14 +0000 2007,494
0,,"cig*,smok*",@DCBadger 1st they came 4 loose cigs & I said nothing b/c I don't smoke. When they came 4 the Jumbo slices there was no1 left to speak 4 me,1972489502,Sat May 30 16:19:21 +0000 2009,"Washington, DC",dc,15574629,340,164,Thu Jul 24 00:57:36 +0000 2008,203
-1,,smok*,"@jccohen it's more like a smoking jacket, really.",1973001601,Sat May 30 17:17:18 +0000 2009,"Washington, DC",dc,5796172,138,229,Sat May 05 22:09:34 +0000 2007,5814
1,,cig*,Kids are in bed & wife is out of town. Time to relax. Front porch + Padron 1926 Aniversario cigar = aaaaaaahhh,1976672001,Sun May 31 01:44:06 +0000 2009,"Washington, DC",dc,38497702,271,328,Thu May 07 19:28:31 +0000 2009,123
1,,"cig*,smok*","instead of doing the BolderBoulder, I woke up at noon and smoked a cig on my porch watching rain turn to hail while runners scrambled home.",1914889802,Mon May 25 18:33:29 +0000 2009,"Boulder, CO",co,34518562,31,49,Thu Apr 23 03:35:41 +0000 2009,17
1,,cig*,"@bluefur Coffee and cigarettes. Total calories, heck I don't know, six or seven?",1916042700,Mon May 25 20:34:56 +0000 2009,Colorado,co,19006664,348,337,Thu Jan 15 02:10:08 +0000 2009,757
-1,,smok*,NP: [Live!] The Smoke Sessions One Year Anniversary Show with Tminus and Shambles - http://www.dubstep.fm/listen.pls,1919635600,Tue May 26 03:15:02 +0000 2009,"Denver, CO",co,14841501,332,1610,Tue May 20 03:35:36 +0000 2008,296
-1,,smok*,smoke detector is making me crazy,1930325902,Wed May 27 01:04:44 +0000 2009,Colorado,co,17425946,14,9,Sun Nov 16 18:44:24 +0000 2008,149
-1,,smok*,"@mariqueen Saw you sitting right in front of me onstage at the NIN/JA show in Denver, we all got smoked out!  lol...good times!",1933505804,Wed May 27 07:07:59 +0000 2009,"Longmont, CO",co,39584904,71,28,Tue May 12 20:16:03 +0000 2009,143
0,,"cig*,smok*",I just love it when my house smells like cigarettes because my neighbors (apparently) smoke inside.,1940588501,Wed May 27 22:54:22 +0000 2009,"Boulder, CO",co,18303497,35,73,Mon Dec 22 08:07:06 +0000 2008,152
0,,smok*,@denisleary your blunt brutality and your honesty inspire me....Do me a favor and have a smoke for me since I can't....,1941729100,Thu May 28 00:59:54 +0000 2009,Bayfield Colorado,co,40032221,13,4,Thu May 14 16:47:33 +0000 2009,33
-1,,cig*,Atomlab Jesme Cig Bike Handlebar - Price: $26.99 (58% off - Reg. Price: $64.95) http://TheGearDeals.com/r?s=1&u=twitter,1944245800,Thu May 28 05:29:24 +0000 2009,Colorado,co,35544234,0,372,Sun Apr 26 19:39:25 +0000 2009,3435
0,,cig*,"@beneubanks   hmmmmm......so much for THAT idea.......what is her fav ""thing""?  chocolate, salsa, cigars?!? ;)",1947879001,Thu May 28 14:51:33 +0000 2009,"Denver, CO",co,17413657,1208,1840,Sat Nov 15 22:01:16 +0000 2008,3881
-1,,smok*,My neighbor's smoke alarm is chirping and he's away at work. I am considering burning the building down to make it stop.,1948150701,Thu May 28 15:17:37 +0000 2009,"Denver, Colorado",co,16980359,170,154,Sun Oct 26 13:47:35 +0000 2008,185
-1,,smok*,"Has anyone tried this ""flower-pot smoker"": http://tinyurl.com/69fp2h ?!?",1948313900,Thu May 28 15:33:29 +0000 2009,"Parker, CO",co,40341290,62,34,Fri May 15 21:44:21 +0000 2009,16
1,,cig*,Reusing cigarette butts! Yearn Worthy Yarn: Cigarettes http://digg.com/u14Hcj,1951950701,Thu May 28 21:21:16 +0000 2009,"Denver, CO",co,18462172,82,90,Mon Dec 29 22:40:36 +0000 2008,238
1,,cig*,Locked myself out of my place. Realized both of my bikes got stolen. Fresh outta cigarettes. FUCK!,1953043802,Thu May 28 23:10:54 +0000 2009,"Fort Collins, CO",co,29617208,4,5,Wed Apr 08 02:29:43 +0000 2009,100
0,,smok*,"DU has announced a smoking ban for the entire campus, indoors and outside. We're discussing doing a story.",1963582803,Fri May 29 19:56:39 +0000 2009,"Denver, Colorado",co,16313592,1190,2905,Tue Sep 16 17:23:37 +0000 2008,4850
-1,,smok*,Think I'll make these this weekend in my Big Green Egg Smoker.... http://bit.ly/B6OzT,1963177003,Fri May 29 19:19:21 +0000 2009,"Boulder, Colorado",co,17143810,1986,1640,Mon Nov 03 23:39:13 +0000 2008,458
1,,cig*,"@LizKegg Four phone calls, two cigarettes, half a beer and now (finally) heading across the street to Tony's to check out the new bistro.",1964267303,Fri May 29 20:58:29 +0000 2009,"Denver, CO",co,38714343,586,654,Fri May 08 18:18:00 +0000 2009,97
0,,smok*,"DU bans smoking on campus effective Jan. 1: Outdoor smoking will be snuffed at DU staring Jan. 1, 2010, Chancell.. http://tinyurl.com/muq8q4",1964505601,Fri May 29 21:20:34 +0000 2009,"Boulder, CO",co,28590078,53,159,Fri Apr 03 15:52:58 +0000 2009,1478
-1,,smok*,@Radioblogger to motivate the people and smoke that senate switchboard. #hhrs,1965666101,Fri May 29 23:19:27 +0000 2009,"Lakewood, Co",co,17913191,928,1212,Sat Dec 06 01:13:12 +0000 2008,9395
1,,cig*,There are two super cats sitting outside the theater. The girl offered me a light for my cigarette and i said i liked her hat. :3,1967175101,Sat May 30 02:06:26 +0000 2009,"Westminster, CO",co,6546762,23,38,Sun Jun 03 19:07:49 +0000 2007,319
1,,nicotine,Having a huge nicotine fit til monday. :(,1972111402,Sat May 30 15:34:57 +0000 2009,"Colorado Springs, CO",co,15753877,5,3,Wed Aug 06 19:24:38 +0000 2008,58
0,,cig*,Save the electronic cigarette!!!! Sign this petition: http://www.whitehouse.gov/CONTACT/ Maybe Obama will switch to E-Cigarettes!!!!,1973565503,Sat May 30 18:24:00 +0000 2009,Colorado,co,43227967,20,2,Fri May 29 00:03:37 +0000 2009,4
0,,"cig*,smok*","is having an Italian milkshake at Full Throttle, and could be persuaded to smoke a cigar were someone to join him...",1975052004,Sat May 30 21:20:45 +0000 2009,"T 40.603836,-105.081039",co,35840246,14,10,Mon Apr 27 19:52:46 +0000 2009,111
-1,,smok*,@luckygnahhh haha Smokey cat = my cat. But I do love spaghetti cat! #ONTD,1978010303,Sun May 31 05:13:14 +0000 2009,"Boulder, CO",co,15233624,151,182,Wed Jun 25 16:57:59 +0000 2008,3207
0,,"chantix,smok*",My bf has been taking Chantix to quit smoking.  I love the fact that he's quitting...but fuck his mood swings and weirdness from it!,1977822200,Sun May 31 04:47:17 +0000 2009,Colorado,co,24894534,91,152,Tue Mar 17 15:06:05 +0000 2009,340
1,,smok*,Calm night in the Springs. Gonna smoke my pipe and drink a beer.,1976980704,Sun May 31 02:46:15 +0000 2009,Colorado,co,18844979,49,43,Sat Jan 10 20:15:07 +0000 2009,468
1,,"cig*,smok*","I quit smoking for 2m 5d 19:30:31, saving $367.40 and 9d 06h 40m of life by not smoking 1336 cigs",1980726203,Sun May 31 14:30:59 +0000 2009,Colorado,co,32520185,32,15,Fri Apr 17 18:51:59 +0000 2009,139
0,,smok*,"@Se7en_Vandalay Nope, not a smoker at all, but the old man was and I've seen that before.",1983983203,Sun May 31 21:12:46 +0000 2009,"Boulder, CO",co,20751442,126,151,Fri Feb 13 06:04:19 +0000 2009,3011
1,,hookah,Hookah and bud light = kickass combo.,1910272103,Mon May 25 06:47:52 +0000 2009,Arizona,az,41516405,35,14,Thu May 21 03:01:37 +0000 2009,21
-1,,smok*,The table is so not expensive!  Robert is smoking crack again!!!,1909533900,Mon May 25 04:45:51 +0000 2009,"Phoenix, AZ",az,29493730,3,4,Tue Apr 07 17:19:38 +0000 2009,138
-1,,smok*,RT @shaggieshapiro RT @jilloatmeal: Deep Purple ~ Smoke on the Water  http://blip.fm/~70190// Loved that band (acid memories)! LOL!,1913703601,Mon May 25 16:23:53 +0000 2009,MESA AZ,az,20537203,57,82,Tue Feb 10 19:26:25 +0000 2009,1209
1,,smok*,Photo: Smoke break & trying to revive my plants. I think I want buy another one http://tumblr.com/xhr1v61of,1913847903,Mon May 25 16:40:17 +0000 2009,"iPhone 35.327042,-112.874715",az,16572939,25,31,Fri Oct 03 03:02:29 +0000 2008,391
-1,,smok*,smells smoke in the neighborhood. Hope it's nothing.,1920833700,Tue May 26 05:45:37 +0000 2009,"Queen Creek, AZ",az,14156474,142,89,Sun Mar 16 06:37:34 +0000 2008,194
1,,"cig*,smok*",sneaked outside my uncles house to smoke a cig.hahaha chances of being caught?99% fuck it,1921334800,Tue May 26 07:14:53 +0000 2009,"mesa,az",az,24088097,36,43,Fri Mar 13 00:50:29 +0000 2009,492
1,,smok*,thinks she'd rather still be smoking than have these stupid dreams and sleep like butt from these stupid patches..,1926199804,Tue May 26 18:11:39 +0000 2009,"Tempe, Arizona",az,19012705,21,24,Thu Jan 15 05:50:40 +0000 2009,131
-1,,smok*,"Reasons are our favorite smoke screens. We use reason to shut up the mind, ours and other people's minds.",1928659202,Tue May 26 22:12:11 +0000 2009,Arizona,az,17936052,3115,2970,Sun Dec 07 04:34:56 +0000 2008,2548
1,,smok*,"Sorry I haven't tweeted lately. In short - quit smoking, getting more exercise, eating better and feeling great!  Gotta update my shop soon!",1932668700,Wed May 27 04:57:19 +0000 2009,Goodyear AZ,az,25464145,107,67,Fri Mar 20 05:05:07 +0000 2009,109
-1,,smok*,im gonna smoke weed for the rest of my life im in love wit mary jane im gonna make her my wife....,1931986502,Wed May 27 03:41:25 +0000 2009,peoria az,az,32926019,386,71,Sat Apr 18 16:08:23 +0000 2009,98
0,,"cig*,hookah,smok*",Smoking hookah more dangerous than cigarettes? http://ow.ly/98Ns,1934563703,Wed May 27 10:52:54 +0000 2009,Arizona,az,36251360,75,57,Wed Apr 29 01:58:02 +0000 2009,296
-1,,smok*,"Good morning humans! Wow, u look fantastic this morning! Seriously, u look years younger than i remember! Have smokin hot day!",1936791600,Wed May 27 15:40:16 +0000 2009,"Cave Creek,AZ",az,12017592,13,32,Wed Jan 09 08:05:10 +0000 2008,130
-1,,smok*,Mens Patagonia Light Smoke Pants - Sale Price: $99.99 (50% Off) http://www.hourdeal.com/,1936990103,Wed May 27 16:00:51 +0000 2009,"Scottsdale, AZ",az,14936286,3659,3337,Wed May 28 18:22:30 +0000 2008,10555
-1,,smok*,RT @billzucker #BZW @KenLudwig Yes my wifes r SMOKIN'gets bit out of hand when I takedrinking/ take a belt to them.but they love that<==#WW,1938381301,Wed May 27 18:22:33 +0000 2009,Tucson AZ,az,33260845,1199,1290,Sun Apr 19 17:49:02 +0000 2009,487
-1,,smok*,"Lunch yesterday: Sushi, lunch today: smoked salmon bagel, dinner: sushi. Tomorrow I can be used as a thermometer.",1941543103,Thu May 28 00:39:49 +0000 2009,"Tucson, AZ",az,15164037,41,39,Thu Jun 19 00:07:06 +0000 2008,504
-1,,smok*,Hurry&get this beautiful Faceted Smoky Quartz Bracelet set in Sterling Silver! Auction ends in JUST 15 MIN! BID NOW! http://TwitPWR.com/g3h/,1942227000,Thu May 28 01:51:30 +0000 2009,"Tucson, Arizona",az,23128953,2281,2146,Fri Mar 06 22:31:25 +0000 2009,551
0,,smok*,"@haydenchristen LOL, glad ur enjoying yourself! Ya gotta quit smoking though! Have fun but take care of yourself. Rachel needs a healthy hub",1951414404,Thu May 28 20:29:39 +0000 2009,Arizona,az,41556062,16,12,Thu May 21 09:08:59 +0000 2009,16
-1,,smok*,http://twitpic.com/663k1 - Jump smokers going down....,1957052204,Fri May 29 06:23:05 +0000 2009,"Scottsdale, AZ",az,14478132,17,4584,Tue Apr 22 18:20:17 +0000 2008,1322
0,,cig*,"Bourbon warm is turrrrrrible. Hot, scalding coffee helps burn away throat itchiness. Cigarette burns build character #shittyparentingtips",1964072702,Fri May 29 20:40:57 +0000 2009,"Phoenix, AZ",az,13564282,785,780,Sat Feb 16 21:04:22 +0000 2008,8828
-1,,smok*,@flairforfabric  Holy smokes! Thanks! How cool.  I'll DM you in a few....,1967934301,Sat May 30 03:28:25 +0000 2009,Arizona,az,18134157,101,29,Mon Dec 15 09:57:50 +0000 2008,47
0,,cig*,@ChiefHava only 86 boxes made. 1900 cigars or so. Really good.  http://twitpic.com/68pvr,1969207602,Sat May 30 06:19:54 +0000 2009,"iPhone 33.347916,-111.856247",az,19701200,96,195,Thu Jan 29 08:08:57 +0000 2009,734
1,,smok*,"Quit for 2 days w my smoking habit! Now to up the workout and kick this bodies ass! <""cammy"">",1972137000,Sat May 30 15:38:09 +0000 2009,"Tucson, Arizona",az,25884320,56,24,Sun Mar 22 21:29:09 +0000 2009,297
-1,,smok*,Smoking Pussee *snickers* Must of had a good night,1977944404,Sun May 31 05:03:53 +0000 2009,"Gilbert, AZ",az,20921000,180,483,Sun Feb 15 17:00:21 +0000 2009,23659
0,,tobacco,UA Researchers Look to Stem the Growth of Tobacco Use Worldwide http://tinyurl.com/n2s66j,1976954300,Sun May 31 02:41:11 +0000 2009,"Phoenix, AZ",az,17402624,376,398,Sat Nov 15 05:00:08 +0000 2008,1911
1,,cig*,"@_fatdad So far, just coffee, Out of Milk so I have to add FOUR Tbs of SUGAR. Oh & a cigarette.",1980774703,Sun May 31 14:38:27 +0000 2009,"Phoenix, Arizona",az,20756054,76,69,Fri Feb 13 08:11:27 +0000 2009,271
-1,,smok*,Coffee ----- yumm.  Woke up this morning with no partner - the iphone wasn't there.  Too many crazy dreams last night - holy smokes!!,1981022903,Sun May 31 15:14:12 +0000 2009,"Phoenix, Az",az,23509053,361,200,Mon Mar 09 21:55:38 +0000 2009,472
-1,,smok*,Watching the Dbacks get smoked this afternoon.My brain is already on its way to San Diego.  I'm lookin for some new places to eat and RELAX!,1984239401,Sun May 31 21:42:55 +0000 2009,"Phoenix, AZ",az,38856041,2,1,Sat May 09 13:54:47 +0000 2009,3
-1,,smok*,Smokin on this k.....@BDaht blessed me with yes sir. Yo daht please tell these niggas it's wifey over bitches but money's over her..LOL,1911430800,Mon May 25 10:51:56 +0000 2009,"iPhone 34.060848,-118.352814",ca,21381214,1992,780,Fri Feb 20 07:12:34 +0000 2009,1755
0,,cig*,"Now playing on TwangCity: Sons of the Pioneers - Cigareetes, Whusky And Wild Woman http://twangcity.com",1912272304,Mon May 25 13:27:23 +0000 2009,Oakland CA,ca,20569630,17,455,Wed Feb 11 03:53:06 +0000 2009,49141
-1,,smok*,"Article:Sunday Smoker - May 24, 2009 - ArmchairGM - Sports Wiki ... http://bit.ly/DeqCp",1912412103,Mon May 25 13:47:54 +0000 2009,"San Diego, Ca",ca,37151377,1450,897,Sat May 02 05:45:15 +0000 2009,1690
1,,"cig*,smok*",I have a profuse nosebleed. I think its from prolonged exposure to dry desert air and cigarette smoke. :(,1912731304,Mon May 25 14:30:21 +0000 2009,"Los Angeles, CA",ca,15833917,92,144,Wed Aug 13 06:51:41 +0000 2008,305
